4801
0	17	1143
1	0	1144
1	0	579
2	0	544
1	0	1145
3	0	1144
2	0	1144
2	0	517
3	0	561
4	0	1146
3	0	1147
3	0	1148
3	0	535
2	0	1146
4	0	570
1	0	575
2	0	541
1	0	544
3	0	524
1	0	1149
1	0	524
1	0	535
3	0	579
1	0	588
4	0	541
1	0	570
3	0	588
4	0	535
1	0	521
1	0	583
2	0	535
2	0	579
1	0	1146
1	0	1150
2	0	1148
2	0	1151
2	0	588
2	0	524
3	0	544
3	0	521
3	0	1151
1	0	1151
4	0	544
4	0	521
5	1	564
6	1	564
7	1	565
8	1	565
9	1	541
10	1	521
11	1	521
12	1	521
10	1	1144
13	1	575
14	1	556
15	1	556
16	1	556
17	1	1152
18	1	582
5	1	565
19	1	544
20	1	1153
21	1	561
5	1	556
22	1	543
16	1	564
23	1	579
24	1	565
25	1	565
26	1	1146
27	1	544
19	1	541
28	1	1154
29	1	1155
30	1	584
26	1	525
31	1	535
21	1	1149
10	1	557
32	1	552
30	1	551
33	1	1156
34	1	543
16	1	543
35	1	554
10	1	544
36	1	544
12	1	544
5	1	1157
7	1	521
7	1	583
37	1	561
38	1	1158
8	1	522
34	1	535
10	1	517
39	1	1159
18	1	543
40	1	564
32	1	554
26	1	544
7	1	541
41	1	1153
42	1	1154
10	1	1148
43	1	584
17	1	561
44	1	556
10	1	579
38	1	1160
25	1	584
34	1	551
7	1	540
45	1	579
46	1	1161
47	1	541
44	1	541
38	1	1148
23	1	521
48	1	521
16	1	521
49	1	521
27	1	583
36	1	584
50	1	535
51	1	535
22	1	535
5	1	1149
50	1	521
52	1	521
12	1	583
53	1	561
11	1	583
10	1	1151
11	1	535
48	1	535
54	1	535
43	1	521
48	1	1145
55	1	535
56	1	1145
5	1	543
26	1	514
57	1	565
40	1	544
36	1	541
24	1	1162
26	1	583
26	1	584
19	1	584
58	1	535
48	1	1149
44	1	1149
11	1	1163
44	1	1150
10	1	588
35	1	564
7	1	555
59	1	521
39	1	1164
9	1	556
60	1	535
61	1	535
16	1	582
23	1	552
18	1	521
20	1	1144
33	1	544
16	1	541
44	1	584
23	1	570
7	1	556
62	1	535
34	1	1163
47	1	1156
23	1	1165
29	1	1148
26	1	1147
19	1	521
46	1	1155
11	1	584
49	1	561
46	1	556
34	1	1166
63	1	535
26	1	535
16	1	535
34	1	1152
55	1	588
36	1	540
21	1	543
21	1	564
24	1	1161
40	1	541
35	1	1167
64	1	1154
34	1	521
26	1	521
5	1	584
18	1	561
9	1	575
40	1	556
10	1	535
65	1	554
16	1	1168
15	1	1161
57	1	1161
26	1	541
48	1	584
45	1	566
48	1	583
46	1	570
23	1	556
26	1	1163
16	1	516
5	1	1144
34	1	1156
29	1	535
9	1	543
23	1	541
30	1	541
45	1	521
30	1	521
66	1	584
67	1	584
68	1	584
10	1	524
11	1	556
43	1	535
16	1	1149
26	1	549
5	1	521
42	1	579
57	1	564
7	1	579
50	1	544
59	1	544
43	1	541
5	1	1153
16	1	548
24	1	1169
57	1	1155
40	1	584
19	1	583
19	1	535
69	1	1144
8	1	1145
14	1	521
5	1	535
35	1	1150
49	1	543
16	1	544
6	1	1153
58	1	521
70	1	584
10	1	575
38	1	575
10	1	556
26	1	556
71	1	535
44	1	535
5	1	571
27	1	557
9	1	564
11	1	541
48	1	541
72	1	1162
50	1	583
16	1	584
57	1	561
7	1	1144
43	1	570
57	1	556
24	1	535
56	1	535
16	1	571
26	1	571
57	1	557
47	1	565
10	1	541
57	1	1153
69	1	1154
38	1	1169
34	1	584
39	1	570
19	1	556
57	1	535
5	1	549
21	1	1160
12	1	564
73	1	1165
7	1	560
11	1	544
34	1	541
24	1	541
57	1	570
23	1	575
46	1	575
39	1	556
57	1	516
59	1	541
20	1	1152
39	1	541
35	1	1153
55	1	1167
10	1	1170
23	1	1154
27	1	521
35	1	561
16	1	549
12	1	535
33	1	584
46	1	579
74	1	565
50	1	541
